company_symbol,Date,Open,High,Low,Close,Volume
HD,2022-05-11,291.45,293.33,282.57,282.96,3880500
HD,2022-05-12,281.57,293.18,280.63,289.69,4447700
HD,2022-05-13,289.95,299.42,288.45,296.03,3949100
HD,2022-05-16,294.08,299.57,289.79,295.99,4267900
HD,2022-05-17,306.5,310.94,290.9,300.95,12425900
HD,2022-05-18,293.0,295.44,281.18,285.18,7799500
HD,2022-05-19,285.5,292.5,284.96,287.76,5211500
HD,2022-05-20,289.82,290.5,279.59,287.19,5621800
HD,2022-05-23,289.09,290.34,280.32,286.03,4305600
HD,2022-05-24,284.0,289.32,280.65,287.92,4241900
HD,2022-05-25,285.81,295.49,285.66,293.57,4612900
HD,2022-05-26,297.32,305.63,297.0,302.81,4170800
HD,2022-05-27,303.54,308.5,301.6,308.46,3899300
HD,2022-05-31,306.6,307.87,300.83,302.75,5966600
HD,2022-06-01,301.74,302.98,297.03,297.19,3080800
HD,2022-06-02,298.81,306.03,295.89,305.87,4086400
HD,2022-06-03,303.33,308.46,301.9,305.08,2956600
HD,2022-06-06,305.56,307.61,303.25,303.89,2562000
HD,2022-06-07,295.06,302.38,292.6,301.77,3547800
HD,2022-06-08,299.78,300.58,295.68,297.53,3003100
HD,2022-06-09,297.76,306.88,297.35,299.86,4168400
HD,2022-06-10,291.5,296.5,288.64,289.24,4623900
HD,2022-06-13,284.36,286.82,281.28,283.16,4704600
HD,2022-06-14,283.21,286.38,276.59,278.67,3987000
HD,2022-06-15,281.0,283.59,275.47,279.73,4050400
HD,2022-06-16,274.92,276.11,269.73,273.46,6181000
HD,2022-06-17,271.0,276.62,270.39,270.73,10775600
HD,2022-06-21,273.69,273.92,267.42,269.2,5498400
HD,2022-06-22,266.39,271.77,264.51,268.98,4678400
HD,2022-06-23,270.0,275.59,269.89,275.42,3747500
HD,2022-06-24,277.47,283.46,273.92,283.0,10310700
HD,2022-06-27,284.46,285.0,281.49,282.69,2538600
HD,2022-06-28,283.78,285.6,269.82,270.15,4052100
HD,2022-06-29,271.58,276.16,268.81,273.87,2460500
HD,2022-06-30,270.73,277.04,268.04,274.27,4058000
HD,2022-07-01,275.73,280.75,274.55,279.08,2818300
HD,2022-07-05,275.5,283.73,275.03,283.73,3241300
HD,2022-07-06,284.99,285.92,280.52,283.58,2206100
HD,2022-07-07,282.84,286.97,281.45,286.69,3133900
HD,2022-07-08,285.99,287.99,283.91,286.47,1891000
HD,2022-07-11,285.18,289.59,285.14,286.39,2453200
HD,2022-07-12,288.97,293.64,283.41,285.12,2696100
HD,2022-07-13,281.63,289.79,279.76,287.18,2941600
HD,2022-07-14,281.85,290.29,281.65,289.48,2822200
HD,2022-07-15,294.81,295.45,290.95,292.41,2647200
HD,2022-07-18,297.25,298.49,292.0,293.05,2664000
HD,2022-07-19,295.44,300.01,293.31,299.83,2614900
HD,2022-07-20,300.93,303.69,298.28,302.3,2533400
HD,2022-07-21,302.85,305.25,298.87,305.0,1965000
HD,2022-07-22,307.66,310.67,304.36,306.59,2391500
HD,2022-07-25,306.8,307.43,303.83,306.15,1910500
HD,2022-07-26,297.0,300.64,295.91,298.18,2690200
